FlowName,SRS_ID,SRS_CAS,Source,FlowID
ALPHA-HEXACHLOROCYCLOHEXANE,,,TRI,319846
BETA-PROPIOLACTONE,,,TRI,57578
"1,1-DICHLOROETHYLENE",,,RCRAInfo,D029
"2,4,5-TRICHLOROPHENOL",,,RCRAInfo,D041
"2-BUTANONE (I,T) (OR) METHYL ETHYL KETONE (MEK) (I,T)",,,RCRAInfo,U159
"4,7-METHANO-1H-INDENE, 1,2,4,5,6,7,8,8-OCTACHLORO-2,3,3A,4,7,7A-HEXAHYDRO- (OR) CHLORDANE, ALPHA & GAMMA ISOMERS",,,RCRAInfo,U036
ACIDIC AQUEOUS WST,,,RCRAInfo,W105
AQUEOUS W/O CYANIDES,,,RCRAInfo,W110
AQUEOUS/CYANIDES,,,RCRAInfo,W107
"BENZENE, 1,1'-(2,2,2-TRICHLOROETHYLIDENE)BIS[4-METHOXY- (OR) METHOXYCHLOR",,,RCRAInfo,U247
"BENZENE, 1,4-DICHLORO- (OR) P-DICHLOROBENZENE",,,RCRAInfo,U072
"BENZENE, CHLORO- (OR) CHLOROBENZENE",,,RCRAInfo,U037
CARBON TETRACHLORIDE,,,RCRAInfo,D019
CONT. DEBRIS,,,RCRAInfo,W002
CONTAMINATED SOIL,,,RCRAInfo,W301
CYAN. BEARING SLUDGE,,,RCRAInfo,W506
DILUTE AQUEOUS WST,,,RCRAInfo,W101
ELECTRICAL DEVICES,,,RCRAInfo,W320
GYPSUM SLUDGES,,,RCRAInfo,W503
HALOGENATED SOLVENT,,,RCRAInfo,W202
HEXACHLOROBENZENE,,,RCRAInfo,D032
HEXACHLOROETHANE,,,RCRAInfo,D034
LAB PACK,,,RCRAInfo,LABP
LAB PACKS/ACUTE,,,RCRAInfo,W004
LAB PACKS/NO ACUTE,,,RCRAInfo,W001
METAL BEARING SLUDGE,,,RCRAInfo,W505
"METAL SCALE, ETC.",,,RCRAInfo,W307
NONHALOGEN. SOLVENT,,,RCRAInfo,W203
OIL-WATER EMULSION,,,RCRAInfo,W205
OILY SLUDGE,,,RCRAInfo,W603
"ORGANIC RESIDULES EXCLUDING SPENT CARBON ADSORBENT, FROM THE SPENT CHLORINE GAS AND HYDROCHLORIC ACID RECOVERY PROCESSES ASSOCIATED WITH THE PRODUCTION OF ALPHA (OR METHYL-) CHLORINATED TOLUNES, BENZOYL CHLORIDES, AND COMPOUNDS WITH MIXTURES OF THESE FUNCTIONAL GROUPS.",,,RCRAInfo,K150
