states,dc,territories,state_name
AK,DC,AS,ALASKA
AL,,GU,ALABAMA
AR,,MP,ARKANSAS
AZ,,PR,ARIZONA
CA,,VI,CALIFORNIA
CO,,,COLORADO
CT,,,CONNECTICUT
DE,,,DELAWARE
FL,,,FLORIDA
GA,,,GEORGIA
HI,,,HAWAII
IA,,,IOWA
ID,,,IDAHO
IL,,,ILLINOIS
IN,,,INDIANA
KS,,,KANSAS
KY,,,KENTUCKY
LA,,,LOUISIANA
MA,,,MASSACHUSETTS
MD,,,MARYLAND
ME,,,MAINE
MI,,,MICHIGAN
MN,,,MINNESOTA
MO,,,MISSOURI
MS,,,MISSISSIPPI
MT,,,MONTANA
NC,,,NORTH CAROLINA
ND,,,NORTH DAKOTA
NE,,,NEBRASKA
NH,,,NEW HAMPSHIRE
NJ,,,NEW JERSEY
NM,,,NEW MEXICO
NV,,,NEVADA
NY,,,NEW YORK
OH,,,OHIO
OK,,,OKLAHOMA
OR,,,OREGON
PA,,,PENNSYLVANIA
RI,,,RHODE ISLAND
SC,,,SOUTH CAROLINA
SD,,,SOUTH DAKOTA
TN,,,TENNESSEE
TX,,,TEXAS
UT,,,UTAH
VA,,,VIRGINIA
VT,,,VERMONT
WA,,,WASHINGTON
WI,,,WISCONSIN
WV,,,WEST VIRGINIA
WY,,,WYOMING
