FlowID,FlowName,Source,SRS_ID,Proxy_Used,Proxy_Name
K174,WASTEWATER TREATMENT SLUDGES FROM THE PRODUCTION OF ETHLYENE DICHLORIDE OR VINYL CHLORIDE,RCRAInfo,4260,0,
K031,BY-PRODUCT SALTS GENERATED IN THE PRODUCTION OF MSMA AND CACODYLIC ACID.,RCRAInfo,4278,0,
K027,CENTRIFUGE AND DISTILLATION RESIDUES FROM TOLUENE DIISOCYANATE PRODUCTION.,RCRAInfo,4283,0,
K022,DISTILLATION BOTTOM TARS FROM THE PRODUCTION OF PHENOL/ACETONE FROM CUMENE.,RCRAInfo,4288,0,
K021,AQUEOUS SPENT ANTIMONY CATALYST WASTE FROM FLUOROMETHANE PRODUCTION.,RCRAInfo,4289,0,
K020,HEAVY ENDS FROM THE DISTILLATION OF VINYL CHLORIDE IN VINYL CHLORIDE MONOMER PRODUCTION.,RCRAInfo,4290,0,
K019,HEAVY ENDS FROM THE DISTILLATION OF ETHYLENE DICHLORIDE IN ETHYLENE DICHLORIDE PRODUCTION.,RCRAInfo,4291,0,
K018,HEAVY ENDS FROM THE FRACTIONATION COLUMN IN ETHYL CHLORIDE PRODUCTION.,RCRAInfo,4292,0,
K017,HEAVY ENDS (STILL BOTTOMS) FROM THE PURIFICATION COLUMN IN THE PRODUCTION OF EPICHLOROHYDRIN.,RCRAInfo,4293,1,Heavy ends in the production of epichlorohydrin as defined
K016,HEAVY ENDS OR DISTILLATION RESIDUES FROM THE PRODUCTION OF CARBON TETRACHLORIDE.,RCRAInfo,4294,0,
K015,STILL BOTTOMS FROM THE DISTILLATION OF BENZYL CHLORIDE.,RCRAInfo,4295,0,
K014,BOTTOMS FROM THE ACETONITRILE PURIFICATION COLUMN IN THE PRODUCTION OF ACRYLONITRILE.,RCRAInfo,4296,0,
K013,BOTTOM STREAM FROM THE ACETONITRILE COLUMN IN THE PRODUCTION OF ACRYLONITRILE.,RCRAInfo,4297,0,
K011,BOTTOM STREAM FROM THE WASTEWATER STRIPPER IN THE PRODUCTION OF ACRYLONITRILE.,RCRAInfo,4298,0,
K009,DISTILLATION BOTTOMS FROM THE PRODUCTION OF ACETALDEHYDE FROM ETHYLENE.,RCRAInfo,4300,0,
K007,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF IRON BLUE PIGMENTS.,RCRAInfo,4302,0,
K006,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF CHROME OXIDE GREEN PIGMENTS (ANHYDROUS AND HYDRATED).,RCRAInfo,4303,0,
K005,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF CHROME GREEN PIGMENTS.,RCRAInfo,4304,0,
K004,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF ZINC YELLOW PIGMENTS.,RCRAInfo,4305,0,
K035,WASTEWATER TREATMENT SLUDGES GENERATED IN THE PRODUCTION OF CREOSOTE.,RCRAInfo,4306,0,
K085,DISTILLATION OR FRACTIONATION COLUMN BOTTOMS FROM THE PRODUCTION OF CHLOROBENZENES.,RCRAInfo,4307,0,
K083,DISTILLATION BOTTOMS FROM ANILINE PRODUCTION.,RCRAInfo,4309,0,
K071,"BRINE PURIFICATION MUDS FROM THE MERCURY CELL PROCESS IN CHLORINE PRODUCTION, IN WHICH SEPARATELY PREPURIFIED BRINE IS NOT USED.",RCRAInfo,4311,0,
K069,EMISSION CONTROL DUST/SLUDGE FROM SECONDARY LEAD SMELTING.,RCRAInfo,4312,0,
K062,SPENT PICKLE LIQUOR FROM STEEL FINISHING OPERATIONS OF PLANTS THAT PRODUCE IRON OR STEEL.,RCRAInfo,4316,0,
K061,EMISSION CONTROL DUST/SLUDGE FROM THE PRIMARY PRODUCTION OF STEEL IN ELECTRIC FURNACES.,RCRAInfo,4317,0,
K060,AMMONIA STILL LIME SLUDGE FROM COKING OPERATIONS.,RCRAInfo,4318,0,
K052,TANK BOTTOMS (LEADED) FROM THE PETROLEUM REFINING INDUSTRY.,RCRAInfo,4319,0,
K051,API SEPARATOR SLUDGE FROM THE PETROLEUM REFINING INDUSTRY.,RCRAInfo,4320,0,
K050,HEAT EXCHANGER BUNDLE CLEANING SLUDGE FROM THE PETROLEUM REFINING INDUSTRY.,RCRAInfo,4321,0,
K049,SLOP OIL EMULSION SOLIDS FROM THE PETROLEUM REFINING INDUSTRY.,RCRAInfo,4322,0,
K048,DISSOLVED AIR FLOTATION (DAF) FLOAT FROM THE PETROLEUM REFINING INDUSTRY.,RCRAInfo,4323,0,
K047,PINK/RED WATER FROM TNT OPERATIONS.,RCRAInfo,4324,0,
K046,"WASTEWATER TREATMENT SLUDGES FROM THE MANUFACTURING, FORMULATION, AND LOADING OF LEAD-BASED INITIATING COMPOUNDS.",RCRAInfo,4325,0,
K045,SPENT CARBON FROM THE TREATMENT OF WASTEWATER CONTAINING EXPLOSIVES.,RCRAInfo,4326,0,
K044,WASTEWATER TREATMENT SLUDGES FROM THE MANUFACTURING AND PROCESSING OF EXPLOSIVES.,RCRAInfo,4327,0,
K043,"2,6-DICHLOROPHENOL WASTE FROM THE PRODUCTION OF 2,4-D.",RCRAInfo,4328,0,
K041,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF TOXAPHENE.,RCRAInfo,4330,0,
K039,FILTER CAKE FROM THE FILTRATION OF DIETHYLPHOSPHORODITHIOIC ACID IN THE PRODUCTION OF PHORATE.,RCRAInfo,4332,0,
K038,WASTEWATER FROM THE WASHING AND STRIPPING OF PHORATE PRODUCTION.,RCRAInfo,4333,0,
K037,WASTEWATER TREATMENT SLUDGES FROM THE PRODUCTION OF DISULFOTON.,RCRAInfo,4334,0,
K105,SEPARATED AQUEOUS STREAM FROM THE REACTOR PRODUCT WASHING STEP IN THE PRODUCTION OF CHLOROBENZENES.,RCRAInfo,4336,0,
K104,COMBINED WASTEWATERS GENERATED FROM NITROBENZENE/ANILINE PRODUCTION.,RCRAInfo,4337,0,
K103,PROCESS RESIDUES FROM ANILINE EXTRACTION FROM THE PRODUCTION OF ANILINE.,RCRAInfo,4338,0,
K086,"SOLVENT WASHES AND SLUDGES, CAUSTIC WASHES AND SLUDGES, OR WATER WASHES AND SLUDGES FROM CLEANING TUBS AND EQUIPMENT USED IN THE FORMULATION OF INK FROM PIGMENTS, DRIERS, SOAPS, AND STABILIZERS CONTAINING CHROMIUM AND LEAD.",RCRAInfo,4342,0,
K099,"UNTREATED WASTEWATER FROM THE PRODUCTION OF 2,4-D.",RCRAInfo,4343,0,
K094,DISTILLATION BOTTOMS FROM THE PRODUCTION OF PHTHALIC ANHYDRIDE FROM ORTHO-XYLENE.,RCRAInfo,4348,0,
K090,EMISSION CONTROL DUST OR SLUDGE FROM FERROCHROMIUMSILICON PRODUCTION.,RCRAInfo,4351,0,
K088,SPENT POTLINERS FROM PRIMARY ALUMINUM REDUCTION.,RCRAInfo,4352,0,
K087,DECANTER TANK TAR SLUDGE FROM COKING OPERATIONS.,RCRAInfo,4353,0,
K106,WASTEWATER TREATMENT SLUDGE FROM THE MERCURY CELL PROCESS IN CHLORINE PRODUCTION.,RCRAInfo,4354,0,
K149,"DISTILLATION BOTTOMS FROM THE PRODUCTION OF ALPHA (OR METHYL-) CHLORINATED TOLUNES, RING-CHLORINATED TOLUNES, BENZOYL CHLORIDES, AND COMPOUNDS WITH MIXTURES OF THESE FUNCTIONAL GROUPS.  [THIS WASTE DOES NOT INCLUDE STILL BOTTOMS FROM THE DISTILLATION OF BENZOYL CHLORIDE]",RCRAInfo,4356,0,
K148,"RESIDUES FROM COAL TAR DISTILLATION, INCLUDING, BUT NOT LIMITED TO, STILL BOTTOMS.",RCRAInfo,4357,0,
K147,TAR STORAGE RESIDUES FROM COAL TAR REFINING.,RCRAInfo,4358,0,
K145,RESIDUES FROM NAPHTHALENE COLLECTION AND RECOVERY OPERATIONS FROM THE RECOVERY OF COKE BY-PRODUCTS PRODUCED FROM COAL.,RCRAInfo,4359,0,
