W_SUBPART_LEVEL_INFORMATION.FACILITY_ID,W_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,W_SUBPART_LEVEL_INFORMATION.FACILITY_NAME,W_SUBPART_LEVEL_INFORMATION.GHG_NAME,W_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
1000245,2014,ALLIANCE PIPELINE  L.P.-FAIRMOUNT COMPRESSOR STATION,NITROUS OXIDE,0
1008802,2014,SANDRIDGE 220 GULF COAST BASIN,METHANE,0
1008802,2014,SANDRIDGE 220 GULF COAST BASIN,NITROUS OXIDE,0
1009130,2014,WARNER CO2 TREATMENT PLANT,CARBON DIOXIDE,36764.642
1002250,2014,WISCONSIN PUBLIC SERVICE CORPORATION - WI,CARBON DIOXIDE,439.4
1002444,2014,BERTRAND COMPRESSOR STATION,METHANE,80.46
1001997,2014,EPNG STATION 6741 ALAMO LAKE  AZ,METHANE,394.33
1009988,2014,EAST BREAKS 165,CARBON DIOXIDE,8
1009165,2014,UINTA BASIN - AAPG PROVINCE 575,CARBON DIOXIDE,39467.9
1009340,2014,UNIT PETROLEUM 377 ARKOMA BASIN,NITROUS OXIDE,.003
1006998,2014,TRANSCO STATION 185,CARBON DIOXIDE,5.6
1009392,2014,XTO ENERGY INC 345 ARKOMA,CARBON DIOXIDE,107316.3
1006226,2014,FASHING GAS TREATING PLANT,METHANE,180.2
1003094,2014,PATTERSON GAS PROCESSING PLANT,METHANE,42.26
1003552,2014,HOLSTEIN  MMS PLATFORM ID 02481  COMPLEX ID 1035-1,METHANE,141.46
1006087,2014,LONGVIEW GAS PLANT,METHANE,206.39
1004048,2014,TARGA MIDSTREAM SERVICES LLC - BARRACUDA GAS PROCESSING PLANT,METHANE,36.95
1011129,2014,TARGA SILVER OAK GAS PLANT,CARBON DIOXIDE,9559.6
1008394,2014,EOG RESOURCES  INC. 230 ARKLA BASIN,METHANE,526.07
1008394,2014,EOG RESOURCES  INC. 230 ARKLA BASIN,NITROUS OXIDE,.017
1008634,2014,HESS CORPORATION - 430 - PERMIAN BASIN,METHANE,97.52
1008634,2014,HESS CORPORATION - 430 - PERMIAN BASIN,CARBON DIOXIDE,9143.6
1008755,2014,FOUNDATION ENERGY MANAGEMENT 540 DJ BASIN,METHANE,5698.13
1008809,2014,SANDRIDGE 430 PERMIAN BASIN,CARBON DIOXIDE,27788.1
1009112,2014,SAMUEL GARY JR. & ASSOCIATES CENTRAL KANSAS UPLIFT (385) OPERATIONS,NITROUS OXIDE,.04
1009331,2014,EPNG STATION 6526 BLANCO,CARBON DIOXIDE,18.2
1009848,2014,GEOSOUTHERN ENERGY CORPORATION,CARBON DIOXIDE,20912.8
1009848,2014,GEOSOUTHERN ENERGY CORPORATION,NITROUS OXIDE,.067
1010498,2014,TGP STATION 261 AGAWAM,CARBON DIOXIDE,5.9
1010603,2014,APACHE CORP. CENTRAL - PALO DURO BASIN 435,NITROUS OXIDE,.025
1002345,2014,VIOSCA KNOLL 786 A,CARBON DIOXIDE,4.6
1002664,2014,SHOLEM GAS PLANT,CARBON DIOXIDE,5692.11
1003192,2014,FLORIDA GAS TRANSMISSION COMPANY - ZACHARY,CARBON DIOXIDE,12.9
1004107,2014,KANSAS GAS SERVICE,CARBON DIOXIDE,152.1
1005078,2014,GULF SOUTH PIPELINE - CARTHAGE JCT STATION,METHANE,458.14
1005078,2014,GULF SOUTH PIPELINE - CARTHAGE JCT STATION,NITROUS OXIDE,0
1007955,2014,CYMRIC,METHANE,18.79
1009052,2014,CHEVRON MCA 535 GREEN RIVER BASIN,METHANE,3467.24
1001917,2014,WASHINGTON GAS LIGHT COMPANY,NITROUS OXIDE,0
1001628,2014,BPXA LISBURNE PRODUCTION CENTER,CARBON DIOXIDE,131292.7
1001981,2014,EPNG STATION 6312 CORNUDAS  TX,NITROUS OXIDE,0
1001982,2014,EPNG STATION 6521 EUNICE A  NM,METHANE,101.04
1001988,2014,EPNG STATION 6335 HUECO  TX,METHANE,117.45
1005678,2014,PLATTEVILLE GAS PLANT,NITROUS OXIDE,.002
1002419,2014,NGPL STATION 311 HAMMOND  IL,NITROUS OXIDE,0
1002419,2014,NGPL STATION 311 HAMMOND  IL,CARBON DIOXIDE,11.9
1001738,2014,DUKE ENERGY KENTUCKY GAS OPERATION,METHANE,259.82
1007342,2014,NORTHWEST PIPELINE GP - BURLEY C/S,METHANE,74.66
1007342,2014,NORTHWEST PIPELINE GP - BURLEY C/S,CARBON DIOXIDE,2.2
1002507,2014,MOBILE BAY - NORTHWEST GULF PLATFORM,METHANE,68.68
1001658,2014,TGP STATION 313 COUDERSPORT,NITROUS OXIDE,0
1002192,2014,FRONT RUNNER,METHANE,434.9
1002675,2014,MP 252 A/B,METHANE,69.2
1007092,2014,NORTHWEST PIPELINE GP - SNOHOMISH C/S,NITROUS OXIDE,0
1002680,2014,SNYDER GAS PLANT,CARBON DIOXIDE,1179.6
1002502,2014,BLACK DIAMOND GAS PLANT,METHANE,74.34
1002502,2014,BLACK DIAMOND GAS PLANT,NITROUS OXIDE,0
1001742,2014,BISON TREATING FACILITY,CARBON DIOXIDE,226330.6
1002030,2014,MOBILE BAY NGL RECOVERY PLANT,METHANE,53.347
1006674,2014,PORT ARTHUR GAS PLANT,NITROUS OXIDE,0
1001940,2014,DOLLY VARDEN PLATFORM,NITROUS OXIDE,.097
1001761,2014,GRAYLING PLATFORM,CARBON DIOXIDE,5803.9
1006956,2014,MONOPOD PLATFORM,CARBON DIOXIDE,9400.4
1002068,2014,LA GLORIA GAS PLANT,CARBON DIOXIDE,544.669
1001777,2014,NEPTUNE SPAR  VIOSCA KNOLL 826 PLATFORM,CARBON DIOXIDE,50.2
1002075,2014,NGPL STATION 109 HARPER  IA,METHANE,3129.78
1002078,2014,OPAL GAS PLANT,CARBON DIOXIDE,24205.5
1002413,2014,NGPL STATION 107 EMERSON  IA,CARBON DIOXIDE,7.8
1006124,2014,PHOENIX - ARRINGTON RANCH GAS PLANT,NITROUS OXIDE,.001
1002344,2014,MOBILE 916,METHANE,265.35
1002344,2014,MOBILE 916,NITROUS OXIDE,.007
1002344,2014,MOBILE 916,CARBON DIOXIDE,403.7
1005804,2014,KERN RIVER GAS TRANSMISSION COMPANY: SALT LAKE COMPRESSOR STATION,NITROUS OXIDE,0
1002772,2014,ARLINGTON COMPRESSOR STATION,METHANE,28.23
1002772,2014,ARLINGTON COMPRESSOR STATION,CARBON DIOXIDE,1
1002774,2014,NGPL STATION 201 STORAGE  HERSCHER  IL,METHANE,427.26
1002825,2014,FLORIDA GAS TRANSMISSION COMPANY - LECANTO,CARBON DIOXIDE,4.4
1002931,2014,MEP ATLANTA STATION 2  TX,CARBON DIOXIDE,2.7
